has_company_logo,has_questions,text_lemma,word_length,required_experience_Associate,required_experience_Director,required_experience_Entry level,required_experience_Executive,required_experience_Internship,required_experience_Mid-Senior level,required_experience_Not Applicable,required_education_Associate Degree,required_education_Bachelor's Degree,required_education_Certification,required_education_Doctorate,required_education_High School or equivalent,required_education_Master's Degree,required_education_Professional,required_education_Some College Coursework Completed,required_education_Unspecified,required_education_Vocational,industry_grp_Admin/HR,industry_grp_Architecture & Engineering,industry_grp_Arts & Entertainment,industry_grp_Broadcasting/Publishing,industry_grp_Business/Consultancy,industry_grp_Computer Prog,industry_grp_Construction,industry_grp_Education,industry_grp_F&B,industry_grp_Financial Services,industry_grp_Healthcare,industry_grp_ICT,industry_grp_Legal & Accounting,industry_grp_Manufacturing,industry_grp_Marketing/Advertising,industry_grp_Oil & Energy,industry_grp_Others,industry_grp_Public Admin,industry_grp_Real Estate,industry_grp_Scientific R&D,industry_grp_Security and Investigations,industry_grp_Social Services,industry_grp_Telecommunications,industry_grp_Transportation & Storage,industry_grp_Wholesale/Retail,fraudulent,y_pred
0,0,part job home daily pay part job home daily pay minimum hour day anytime required job earn everyday suitable male female totally free join visit required job,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,market operation manager exemptshift workedmonday sunday day nightssalary starting salary ramping store open market bi annual performance bonus opportunity position overviewmanages overall operation home store exercise discretion ensures standard met ensures store associate comply policy procedure develops ensures compliance corporate store policy procedure upholds executes vision mission yogurtland assist rom overseeing helping store manager resolve operational issue two store area cultural qualificationshumble modest respectful open never arrogant despite success grow giving accepting honest feedback even personally challenging teamwork collaboratively capitalizing strength every member collectively success shortcoming passionate love reach best strive positively impact life guest colleague franchisees vendor innovative open mind fresh idea continuously evolving creating new possibility product way business interaction others thtk totally honest totally kind live great integrity accountability compassion key metricssuccessful opening new store store sale increase food cost labor cost net profit essential job functionscash handling bank deposit safe deposit accountable fund scheduling associate effectively efficiently control store operational cost food labor maintain adequate inventory level ensures associate adhere standard policy procedure coordinate communicates assignment throughout shift coordinate training coaching development newly hired associate ensures associate adhere meal break period taste ensure quality standard met role model outstanding associate standard ensures cleanliness health security safety standard maintained time maintains building machine store operating equipment schedule preventive maintenance conduct associate meeting needed maintains creates report record based standard compliance local state federal regulation maintains cooperative interactive relationship ylsc provides counseling coaching discipline mentoring associate warranted job related activity requested assist teach assigned store manager core competenciesability exercise mature judgment reasoning problem solve quickly effectively effective skill delivered friendly disposition communicate clearly concisely actively listen associate concern comment issue lead others always upholding standard knowledge staffing scheduling inventory process internally motivated motivate others act independently effectively knowledge organizational planning skill knowledge building leadership coaching mentoring skill requirement license certification previous management college degree year hospitality proficient m office word excel program afe equivalent certification,317,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,vacancy nanny cook driver housekeeper needed hiring home domestic mother home mom died told many wonderful thing country decided use child learn mother currently living london uk husband two daughter looking domestic staff family nanny cook driver maid minimum based strictly child always busy need someone trust take care salary pound fo position reward allowance accommodation house fully furnished apartment laptop internet connection successful applicant interested job contact bd ab b f de db c f f f bca cedf f hiring home domestic mother home mom died told many wonderful thing country decided use child learn mother currently living london uk husband two daughter looking domestic staff family nanny cook driver maid minimum based strictly child always busy need someone trust take care salary pound fo position reward allowance accommodation house fully furnished apartment laptop internet connection successful applicant interested job contact bd ab b f de db c f f f bca cedf f,156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,representative seeking candidate whose core value integrity compassion responsibility focused building quality relationship client candidate outstanding organizational skill capable responding promptly need managing duty accuracy thoroughness candidate also home minimal amount supervision home computer internet accessbasic computer skillsa headset,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,call center representative responsible collection delinquent accountsperform inquiry data entry generate print report variety computer programsrecord summary discussion commercial outstanding issuestimely follow discussion requiredidentify audit correct data fall outside billing specification accountsgenerate credit memo applicable backup clear item accountcommunicate department g hospitality property customer verify detail correct error prevent recurrence similar issuesprovide documentation customer property operation justify modification required correct error prevent recurrencesactively participate interdepartmental meeting identify procedural problem determine solutionsother duty project assigned maintain concentration extended period timeread interpret document instruction customer vendor memberscommunicate effectively customer vendor membersmulti task prioritize workloadwork within appropriate level independencefunction fast paced environmentif applicable travel meeting customer vendor member business necessity,107,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,qa engineer qa manager cable job summary member provider engineering responsible managing lab test engineer qualify cable product netgear cable broadband product home gateway iptv voice ip voip service targeted msos product incorporate one several following technology docsis packetcable pppox dns dhcp ip sip igmp wireless ethernet vpn firewall primary function qa manager netgear ensuring ultimate certification overall quality additionally position responsible managing office ensuring office clean secure fully operational local staff conduct onsite visit responsible locating hiring test engineer defining scalable robust test facility ensure high quality job responsibilitiesmanage cable lab includes keeping lab date latest revision firmware maintain firmware revision equipment maintenance contract keep lab document date latest change create process lab usage ensure following process build lab cable cpe qualification meet major na msos requirement support spbus international cable sale requiredhire test engineering define execute test case requirement build lead test engineering create test plan test case automate test case product requested manage load test engineer prioritize needed provide schedule request lead deliver schedule lead test engineer review test plan test case test lab equipment verify test coverage perform testing verify performance diagnose defect perform verification regression testing bug fix log track drive closure bug directly overseas developer develop test plan requirement supervise qa testing within overseas supplier lab set maintain house cable video docsis packetcable iptv network test bed multiple provider environment monitor manage qualification product customer qa lab personnel understand requirement test plan create additional test case required cover requirement review test plan integrate master test plan review industry new standard create plan integrate new standard lab test capability send regular test status report metric indicate overall test progress maturity provide input manual help file application note tech support web page support rd level technical escalation technical support replicate field issue engineering chip supplier verify solution includes working provider operation team identify diagnose field lab issue provide engineering verify fix prepare provider lab qualification documentation new product entering certification well additional fw release evaluate new product reference design office management handle inbound outbound correspondence keep office supply stocked create maintain security badge support safety legal compliance effort outside vendor necessary communicate corporate facility hr team make lab clean safe environment test engineer skill requirementsintimately familiar major cmts cisco arris motorola casa knowledge existing mso testing procedure personnel methodsin depth knowledge packetcable specification including candidate expected setup configure softswitch perform voice quality testing etcstrong understanding ip networking tcp ip http ftp dns snmp ip protocol knowledge router wireless x vpn year qa system test lead role testing networking product management preferred well versed qa methodology test driven development using test tool test director winrunner qapartner hand test capability operate network test equipment build test environment troubleshoot network productsability independently track resolve issue teamwork position requires close working relationship extended netgear including engineering operation sale support marketing program managementmulti tasker working start environment good skill written verbal b computer science engineering knowledge dsl standard industry plus fluency mandarin plus,492,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,client audit coordinator description summary client audit coordinator assist compliance manager carrying necessary task needed ensure regulatory client compliance issue managed addressed duty responsibility maintain compliance e mail box ensure matter handled accurately timelyorganize communication client route appropriate party handlingescalate matter necessaryassist setting maintain sharepoint site handle compliance audit issuesassist gathering requested client auditsdocument update client audit procedure training referencetrack progress completion client audit requestsperform duty assigned high school diploma equivalent bachelor degree preferredsharepoint plusstrong organizational skillsability deal effectively diversity individual organizational levelsability fast paced environment demonstrated juggle multiple competing task demandsproficient microsoft office suite outlook,96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,data entry representative responsible reviewing detail ticket ensure contain data required customer monitor bin movement ensure activity seen match paperwork providedwatches contract level v volume remaining bin report discrepancy quality managerprovides ticket copy customer neededanswers question customer may specific ticketsadvises plant manager missing paperworkcollect paperwork north south plant review bin sand pulled correct bin bin movement line activity esponsible reviewing detail ticket ensure contain data required customer monitor bin movement ensure activity seen match paperwork providedwatches contract level v volume remaining bin report discrepancy quality managerprovides ticket copy customer neededanswers question customer may specific ticketsadvises plant manager missing paperworkcollect paperwork north south plant print item scanned amarilloreview bin sand pulled correct bin bin movement line activity requirement see high school diplomawork good,122,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,software architect software architectsan jose ca short sweet software architect responsible software architecture activity thespbu provider business unit maintain overall responsibility devise develop implement spbu messaging internet including corporate website affiliate also responsible track necessary represent spbu appropriate standard body influence spbu strategy sla work closely line manager plms r marketing communication worldwide sale technology odm partner ensure key aspect technical strategy addressed implemented success line essential develop devise implement overall software strategy spbu owner operating system platform roadmap delivery platform supported attend relevant forum define specification new feature technology defines goal strategy achieve thought leadership market place achieves cross functional support executes defines constantly review differentiates feature set entire line individual product active life cycle provide input developing compelling comprehensive collateral support spbu marketing sale team pre sale post sale activity collateral includes datasheets brief slick white paper case study presentation needed video activity encompass contributing article technical trade publication industry analyst briefing press release trade show speaking engagement take role internal expert well external spokesperson evangelist spbu product working closely software help develop strong patent portfolio provide technical leadership responding rfis rfps take high level feature requirement marketing team customer write detailed feature specification software closely partner define architecture requirement tasking new product feature market desired skill strong technical background prior working provider telco cable mobile space take new technical standard understand translate relevant requirement product independently devise overall software strategy drive implementation working cross functional team communicate gain support project vision strong understanding networking consumer electronics technology product related line good interpersonal skill well people region technical management level mature partner peer manager skillful verbal writing ability effective presentation skill five seven year software architecture telecom networking demonstrated knowledge technology industry branding thorough understanding provider market demonstrated leadership skill focus internal resource coordinate r coordinate business partner past background software development understand closely software engineer b computer science electrical engineering,313,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,user designer mobile looking ux designer help u continuously innovate revamp product keep u top market adept experienced various user research usability testing methodology understand analyze user research data determine ux key differentiator conduct usability review competitive evaluation mobile apps generate user scenario based domain understanding analysis define navigation model architecture mobile apps define workflow paper prototype conceptual sketch storyboards create wireframes detailed interaction focus,65,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,sap support advisor corporate overviewaker solution global provider product system service oil gas industry engineering design technology bring discovery production maximize recovery petroleum field employ approximately people country go business people value aker solution leading global provider engineering technology product solution oil gas industry aker solution offer ocean opportunity people biggest asset business relies ability win project execute highest standard committed developing people capability challenging task supported excellent training development opportunity major achievement effort looking dedicated player like part winning meet challenge head serve customer need particular job function close liaison sap support manager provide technical business expertise required maintain efficient sap support organisation provision training provision sap dedicated helpline responsibility task aid sap support manager maintain efficient sap support structure end user within organisation aid sap support manager provide sap dedicated helpline answering technical business query across business unit aberdeen deliver training sap super user deputy business process aid sap support manager ensure sap super user supported developed competently provide training coaching within prescribed sap module aid sap support manager ensure sap super user provide necessary coaching employee required need business aid sap support manager maintain sap support organisation structure enet aid sap support manager ensure sap support user aware escalation route system issue fault sla agreed aid sap support manager maintain library current sap module ready available training material within business aid sap support manager providing routine report mor senior management detailing sap issue fault summary resolution outstanding case training summary performance aid sap support manager maintain sap support page within knowledge base necessary perform duty requiring essentially level skill responsibility required responsibility may require travel aker solution inc u overseas site supplier site qualification personal attributeshnd degree equivalent relevant discipline demonstrable relevant working sap preferably within oil gas industry delivering training course motivate others take ownership process within discipline areaswe offer friendly colleague industry bright future environment encouraged develop skill share knowledge colleague competitive benefit strong focus life balance would like join u journey take position aker solution preferred partner,333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
