has_company_logo,has_questions,text_lemma,word_length,required_experience_Associate,required_experience_Director,required_experience_Entry level,required_experience_Executive,required_experience_Internship,required_experience_Mid-Senior level,required_experience_Not Applicable,required_education_Associate Degree,required_education_Bachelor's Degree,required_education_Certification,required_education_Doctorate,required_education_High School or equivalent,required_education_Master's Degree,required_education_Professional,required_education_Some College Coursework Completed,required_education_Unspecified,required_education_Vocational,industry_grp_Admin/HR,industry_grp_Architecture & Engineering,industry_grp_Arts & Entertainment,industry_grp_Broadcasting/Publishing,industry_grp_Business/Consultancy,industry_grp_Computer Prog,industry_grp_Construction,industry_grp_Education,industry_grp_F&B,industry_grp_Financial Services,industry_grp_Healthcare,industry_grp_ICT,industry_grp_Legal & Accounting,industry_grp_Manufacturing,industry_grp_Marketing/Advertising,industry_grp_Oil & Energy,industry_grp_Others,industry_grp_Public Admin,industry_grp_Real Estate,industry_grp_Scientific R&D,industry_grp_Security and Investigations,industry_grp_Social Services,industry_grp_Telecommunications,industry_grp_Transportation & Storage,industry_grp_Wholesale/Retail,fraudulent,y_pred
0,0,new development project leader job hereregularly provide feedback idea solution process improvement including new development process manufacturing process regularly provide feedback actively participate improvement project management practice within new integration group provide cost reduction input value engineering group leadership mentoring assist mentor le experienced member rotation program engineer co op student needed provide backup attend meeting behalf program manager provide development feedback member functional supervisor relationship contactssupervisory relationship report sr development portfolio managermay supervise technical support staff required organization relationship frequent contact marketing coordinate completion project business plan activity solicit marketing input throughout project frequent contact design engineering coordinate design phase ofprojects review design manufacturability assembly frequent contact industrial design component aestheticsas relates project timeline manufacturability frequent contact purchasing coordinate sourcing componentsand exchange critical project cost design timing frequent contact manufacturing personnel coordinate costestimating material routings tooling fixture building pilot andproduction build component final skus frequent contact accounting exchange cost data capitalrequest act data charge account occasional contact legal reference patent application andinfringements occasional contact communication coordinate product photoshoots external business relationship contact supplier vendor exchange regardingcomponent status cost design timing contact consultant outside engineer firm exchangeinformation regarding project status design material orprocesses attend related trade show seminar investigate new materialsproducts process occasional contact customer field targeted assignment education requirementsbachelor science degree engineering applicable four degree minimum eight year project management design process engineering manufacturing engineering alternately fifteen year proven related field environment managing project working cross functional environment functioning project leader required strong organizational skill required job specific responsibilitiescoordination project management new development project act leader perform project management duty new development project leading cross functional team defined gated npd process lead cross functional team development project timeline maintain throughout life project periodically present status project management facilitate coordinate project activity minimize project timeline assign alternate member find alternative resource personally complete project task member absent unable complete task timeline develop manage project budget including development expense capital tooling expense tooling guide develop new product meet cost target primarily responsible creating preliminary cost estimate conjunction engineering primarily responsible accuracy preliminary cost estimate final costing product define role responsibility member undefined process new process created unique instance occur manage collection project data npd process gate exit release shipment document facilitate meeting record meeting minute connect member appropriate personnel including manufacturing test lab legal drive manufacturing personnel supply chain towards completion pilot build inventory build,394,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,sqa engineer qualification bachelor degree year software quality engineering responsibility software quality responsible development execution software test design test case procedure testing complex software system within project boundary established management review requirement design documentation ass correctness completeness testability usability performs manual black grey box testing set test data configures hardware verification software application determines mean overcome technical problem analyzes report maintains documentation test result defect report request change work complex problem analysis data requires depth evaluation various factor exercise judgment within generally defined practice policy selecting method technique obtaining solution normally receives instruction routine general instruction new assignment,98,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,mcafee technology security specialist position encompasses sale engineering integration engineering call support responsibility responsible rapid successful deployment mcafee product site involved pre sale evaluation purchase order installationa nd ongoing call support working one fastest growing technology company canada project lead strong networking security mcafee technology background mcafee network security platform technology mcafee web gateway mcafee epolicy orchestrator mcafee vulnerability manager tecnology tcp ip strong knowledge network protocol year relevant residing ontario canada,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,peoplesoft hcm analyst job responsibility interact user community gather document business requirement conduct process analysis draft conceptual design user team develop requirement maintain application configuration test provide expert analysis peoplesoft human capital management application position offer excellent benefit life balance job hererequirements bachelor degree year peoplesoft system analyst experienceexperience peoplesoft v highermust withpeoplesoft hcm year peopletools,56,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,executive assistant ceo office manager suneris inc medical device focus bringing new technology aim solve problem associated wound healing created hemostatic agent instantly stop trauamtic bleeding please refer associated link learn suneris currently working develop human surgical market focusing research strategic planning order best understand pathway needed order commercialize pipeline wound healing product looking executive assistant ceo compensation hr job description executive assistant directly ceo management needed act first point contact suneris manage multiple complex executive calendar perform clerical administrative including managing workflow planning office event handling travel logistics scheduling speaking engagement filing invoice expense report answering phone call email ensuring upkeep office facility hour flexible hour previous preferred scientific literacy preferred exceptional written verbal skill proficiency microsoft office suite,120,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,wireless sale consultant wanted hiring currently seeking part retail sale associate exciting opportunity target mobile san antonio tx job consist selling cell phone well wireless accessory inside target retail store location park north target nw loop san antonio tx benefit competitive hourly rate monthly bonus verizon sprint dealer plan priced low month unlimited voice text data requirement high school diploma ged smartphone android iphone reliable transportation outgoing friendly personality marketsource offer opportunity promoted salaried position strong career path opportunity fill opportunity quickly best wish job search,86,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,reception foh client looking reliable professional temp least three month office reception happy ad hoc basis early morning call duty meeting greeting answering incoming call general admin smile available asap busy foh,32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,devops cloud aws engineer need someone urgently experienced continuous deployment automation aws using chef jenkins ideal candidate come form application deployment background development develop workflow someone strong app hosting aws mainly aws cloudformation elb short term long term implementation assistance much architecture design help ideally person strong aws dev help u implement supervision help u quickly troubleshoot fix unforeseen issue need someone urgently experienced continuous deployment automation aws using chef jenkins ideal candidate come form application deployment background development develop workflow someone strong app hosting aws mainly aws cloudformation elb short term long term implementation assistance much architecture design help ideally person strong aws dev help u implement supervision help u quickly troubleshoot fix unforeseen issue,116,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,representative job responsibility answer incoming call sale order callsprovide excellent serviceaddress question concern product promotion shippingup sell cross sell new vitality productsenter update computer systemhandle secure discretionplace order necessarydepending need business required holiday remain openattendance essential responsibility positionschedules determined business demand requirement month experiencehigh school diploma gedsolid computer skill m application excellent reading phone etiquettepatience upbeat professional mannerability type word minuteability verbally convey others effectivelyability read understand presented writingability multi taskability sit long period,74,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,naval architect looking senior naval architect senior naval architect innovation department responsible person relation naval architecture engineering allseas innovation department responsible modification new construction design allseas vessel equipment includes working design analysis working procedure material takeoff senior naval architect report directly manager innovation job requirement hts tu marine technology minimum year preferably offshore engineering prepared offshore occasionally good knowledge microsoft window office application good command english language written spoken job task assist advise technical operational department ensuring compliance class requirement relevant code allseas vessel ensure software date validated prepare vessel modification proposal liaise structural engineering technical operation department modification prepare attend procedure vessel test special marine operation prepare calculation stability vessel motion propulsion vessel strength,115,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
